InvoiceNo,CustomerID,CustomerName,ProductID,ProductName, UnitPrice ,Quantity,InvoiceDate
INV_733152,CUST_1439,Eric Taylor,PROD_049d2289,Valis Faux Sheepskin Indoor Rug, $106.50 ,1,6/8/2025
INV_871939,CUST_1236,Stephen Jones,PROD_68bfe17c,Adrihana Machine Woven Abstract Area Rug, $231.19 ,2,6/8/2025
INV_426708,CUST_1059,Stephanie Gilbert,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $110.43 ,1,6/9/2025
INV_115267,CUST_1102,Joseph Hayes,PROD_15009179,Maust Sunshine Rainbow Shag Rug, $109.13 ,1,6/9/2025
INV_419644,CUST_1331,Henry Pugh MD,PROD_15009179,Maust Sunshine Rainbow Shag Rug, $109.77 ,2,6/9/2025
INV_158777,CUST_1415,Samuel Howe,PROD_d02253d6,Lanett Oriental Blue/Gray Area Rug, $92.50 ,1,6/9/2025
INV_715551,CUST_1091,Jason Peters,PROD_b59a3efe,Machine Washable Area Rugs for Entryway 2x3 Non-Slip Soft Throw Rugs Blue/Gray, $20.91 ,1,6/9/2025
INV_628859,CUST_1067,Jessica Meadows,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $32.01 ,1,6/9/2025
INV_170559,CUST_1214,Rachel Romero,PROD_03310af2,"Dylanton 7'8"" X 10' Area Rug", $457.80 ,1,6/9/2025
INV_975522,CUST_1002,Cristian Santos,PROD_15009179,Maust Sunshine Rainbow Shag Rug, $107.31 ,2,6/10/2025
INV_181644,CUST_1021,Kim Martinez,PROD_81ed29d6,Soft Washable Vintage Distressed Beige Area Rug with Non-Slip Backing, $135.44 ,1,6/10/2025
INV_166007,CUST_1377,Heather Brown,PROD_a0eaf6eb,Tomas Chevron Rug Dark Blue/Gray Indoor/Outdoor Area Rug, $90.07 ,5,6/11/2025
INV_548158,CUST_1488,Henry Garner,PROD_cb6ebe0a,Harjot Medium Rug, $164.18 ,1,6/11/2025
INV_735242,CUST_1188,Jesse Brown,PROD_b7d8e041,Jodhveer Area Rug Washable Rug Non-Slip Backing Indoor Rugs, $39.56 ,1,6/11/2025
INV_902784,CUST_1299,Donna Cabrera,PROD_3b59c0ac,Seraphine Coastal Flatweave Navy Indoor /  Outdoor Area Rug, $75.59 ,1,6/11/2025
INV_243910,CUST_1134,David Scott,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $34.08 ,1,6/11/2025
INV_449709,CUST_1327,Michelle Sanders,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $668.53 ,1,6/11/2025
INV_778540,CUST_1114,Brandon King,PROD_ef361fba,"Radiant Oriental Multicolor Hand Knotted Wool Blue, Pink, Navy Traditional Area"," $3,543.85 ",2,6/12/2025
INV_307356,CUST_1469,William Ramos,PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room, $102.86 ,2,6/12/2025
INV_277193,CUST_1108,Tammy Gonzales,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $199.77 ,1,6/12/2025
INV_956113,CUST_1413,Jacqueline Villegas,PROD_b7d8e041,Jodhveer Area Rug Washable Rug Non-Slip Backing Indoor Rugs, $38.58 ,1,6/12/2025
INV_207241,CUST_1496,Michael Sims,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $179.18 ,1,6/12/2025
INV_815551,CUST_1266,Courtney Dudley,PROD_ffc555c6,"Azelhurst 7'8"" X 10' Area Rug", $656.13 ,1,6/12/2025
INV_981723,CUST_1059,Stephanie Gilbert,PROD_b7d8e041,Jodhveer Area Rug Washable Rug Non-Slip Backing Indoor Rugs, $38.61 ,1,6/13/2025
INV_935434,CUST_1000,Allison Hill,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $49.81 ,1,6/13/2025
INV_721748,CUST_1018,Mark Lynch,PROD_819dccdf,Paint Chip Blue Machine Washable Rug, $35.97 ,1,6/13/2025
INV_356787,CUST_1327,Michelle Sanders,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $51.20 ,1,6/13/2025
INV_868473,CUST_1331,Henry Pugh MD,PROD_af993edd,"Reversible Waterproof Plastic Straw Outdoor Area Rug for Patio, Camping", $54.47 ,1,6/13/2025
INV_769191,CUST_1102,Joseph Hayes,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $32.02 ,1,6/14/2025
INV_681141,CUST_1208,Raven Taylor,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $31.64 ,1,6/14/2025
INV_444136,CUST_1480,Jorge Bates,PROD_0a14d1b3,White Shag Novelty Faux Sheepskin Fur Fluffy Rug, $72.65 ,1,6/14/2025
INV_828221,CUST_1022,Lisa Brandt,PROD_20bbb110,Ainswick Memory Foam Large Rug, $545.66 ,1,6/14/2025
INV_409963,CUST_1071,John Brown,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $201.07 ,1,6/14/2025
INV_623285,CUST_1491,Brittany Gay,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $51.17 ,1,6/14/2025
INV_780130,CUST_1496,Michael Sims,PROD_819dccdf,Paint Chip Blue Machine Washable Rug, $34.18 ,2,6/14/2025
INV_656405,CUST_1371,Renee Hudson,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $111.79 ,1,6/14/2025
INV_474175,CUST_1429,Rachael Howard DDS,PROD_ba5eef5e,Gauna Power Loomed Geometric Indoor and Outdoor Rug, $82.95 ,1,6/15/2025
INV_947311,CUST_1320,Manuel King,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $32.92 ,1,6/15/2025
INV_374516,CUST_1209,Luis Bullock,PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug, $137.05 ,1,6/15/2025
INV_442360,CUST_1222,Kathleen Jimenez,PROD_7781fd4a,Oriental Indoor Rug, $219.28 ,1,6/15/2025
INV_270820,CUST_1046,Sandra Aguilar,PROD_af993edd,"Reversible Waterproof Plastic Straw Outdoor Area Rug for Patio, Camping", $55.35 ,1,6/15/2025
INV_221703,CUST_1090,Robert Peterson,PROD_ba5eef5e,Gauna Power Loomed Geometric Indoor and Outdoor Rug, $86.86 ,1,6/15/2025
INV_973390,CUST_1450,Jessica Valdez,PROD_db0bc388,Waikiki Blue Indoor/Outdoor Rug, $140.26 ,1,6/15/2025
INV_309044,CUST_1020,David Bradley,PROD_cd80d75a,Corrbell 5' X 7' Area Rug, $212.12 ,1,6/16/2025
INV_707021,CUST_1259,Veronica Silva,PROD_ffc555c6,"Azelhurst 7'8"" X 10' Area Rug", $690.94 ,1,6/16/2025
INV_547389,CUST_1202,Vincent Mueller,PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip, $75.10 ,1,6/16/2025
INV_705561,CUST_1436,Anthony Guzman,PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug, $70.10 ,1,6/16/2025
INV_921609,CUST_1496,Michael Sims,PROD_b59a3efe,Machine Washable Area Rugs for Entryway 2x3 Non-Slip Soft Throw Rugs Blue/Gray, $20.26 ,1,6/16/2025
INV_574579,CUST_1385,Edwin Reyes,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $182.38 ,1,6/17/2025
INV_512842,CUST_1244,Kathleen Burton,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $185.04 ,1,6/17/2025
INV_433674,CUST_1494,Jeffrey Jordan,PROD_db0bc388,Waikiki Blue Indoor/Outdoor Rug, $140.38 ,1,6/17/2025
INV_497687,CUST_1332,Michelle Miller,PROD_cd80d75a,Corrbell 5' X 7' Area Rug, $194.74 ,1,6/17/2025
INV_115743,CUST_1098,Beth Oneill,PROD_89c6f605,Washable Oriental  Area Rugs Non slip Green Rugs, $19.81 ,1,6/17/2025
INV_871041,CUST_1126,Evelyn Garcia,PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug", $155.18 ,1,6/18/2025
INV_724702,CUST_1000,Allison Hill,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $207.55 ,2,6/18/2025
INV_804667,CUST_1051,Courtney Velasquez,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $696.24 ,2,6/18/2025
INV_867934,CUST_1403,Jordan Williams,PROD_d02253d6,Lanett Oriental Blue/Gray Area Rug, $97.76 ,1,6/18/2025
INV_347459,CUST_1400,Patricia Johnson,PROD_d02253d6,Lanett Oriental Blue/Gray Area Rug, $93.36 ,1,6/18/2025
INV_988869,CUST_1498,Joseph Warren,PROD_a39a8d2b,Rinoa Indoor / Outdoor Rug, $200.50 ,2,6/18/2025
INV_423896,CUST_1410,Makayla Steele,PROD_3b59c0ac,Seraphine Coastal Flatweave Navy Indoor /  Outdoor Area Rug, $73.71 ,2,6/18/2025
INV_513474,CUST_1393,Austin Baker,PROD_7cb7c01e,Achilles Cream/Gray Rug, $119.10 ,2,6/18/2025
INV_516278,CUST_1213,Jason Beck,PROD_289ed9b0,Ankita Bordered Jute Area Rug, $342.20 ,2,6/19/2025
INV_346174,CUST_1249,Michelle Lee,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $187.16 ,5,6/19/2025
INV_312861,CUST_1298,Andrew Gonzales,PROD_a0eaf6eb,Tomas Chevron Rug Dark Blue/Gray Indoor/Outdoor Area Rug, $89.30 ,1,6/19/2025
INV_718849,CUST_1077,David Murphy,PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip, $73.15 ,2,6/19/2025
INV_838247,CUST_1495,Curtis Watson,PROD_0f472890,Oriental Vintage Machine Washable Non-Slip Dark Green Indoor Area Rug, $127.14 ,1,6/19/2025
INV_134007,CUST_1334,Brandon Jordan,PROD_f6c97a80,Livdon Washable Medium Rug, $152.39 ,1,6/19/2025
INV_476993,CUST_1214,Rachel Romero,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $190.37 ,1,6/19/2025
INV_271499,CUST_1117,Michael Martinez,PROD_289ed9b0,Ankita Bordered Jute Area Rug, $325.02 ,1,6/19/2025
INV_612643,CUST_1473,Danielle Bryant,PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room, $100.30 ,1,6/19/2025
INV_573546,CUST_1328,Jasmine Mosley,PROD_7781fd4a,Oriental Indoor Rug, $227.46 ,2,6/20/2025
INV_520106,CUST_1040,Sherry Wood,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $715.70 ,1,6/20/2025
INV_283568,CUST_1378,Frank Campbell MD,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $206.17 ,2,6/20/2025
INV_438302,CUST_1479,Judy Robinson,PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug, $135.14 ,1,6/21/2025
INV_316247,CUST_1160,Judith Maynard,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $48.13 ,1,6/21/2025
INV_439813,CUST_1451,Colton Terry,PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug, $544.98 ,2,6/21/2025
INV_535047,CUST_1329,Haley Davis,PROD_cd80d75a,Corrbell 5' X 7' Area Rug, $203.41 ,1,6/21/2025
INV_243693,CUST_1205,Phillip Nelson,PROD_7cb7c01e,Achilles Cream/Gray Rug, $114.53 ,1,6/21/2025
INV_677723,CUST_1374,Sandra Juarez,PROD_cb6ebe0a,Harjot Medium Rug, $154.22 ,5,6/21/2025
INV_929478,CUST_1124,Reginald Williams,PROD_3a8f5324,"Lisgrove 7'8"" X 10' Area Rug", $635.79 ,1,6/21/2025
INV_869105,CUST_1213,Jason Beck,PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug, $545.54 ,1,6/21/2025
INV_320281,CUST_1157,Richard Young,PROD_0f472890,Oriental Vintage Machine Washable Non-Slip Dark Green Indoor Area Rug, $135.18 ,1,6/21/2025
INV_816308,CUST_1098,Beth Oneill,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $109.81 ,1,6/22/2025
INV_134385,CUST_1387,Tamara Jensen,PROD_81ed29d6,Soft Washable Vintage Distressed Beige Area Rug with Non-Slip Backing, $131.86 ,1,6/22/2025
INV_643042,CUST_1189,Julie Spencer,PROD_89c6f605,Washable Oriental  Area Rugs Non slip Green Rugs, $20.33 ,1,6/22/2025
INV_676276,CUST_1081,Jacob Obrien,PROD_ffc555c6,"Azelhurst 7'8"" X 10' Area Rug", $686.39 ,1,6/22/2025
INV_949153,CUST_1297,Austin Wheeler,PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug, $70.63 ,1,6/22/2025
INV_825916,CUST_1458,Joseph Camacho,PROD_7ef65a00,Jules Checkered Area Rug, $131.34 ,1,6/22/2025
INV_562806,CUST_1277,Todd Rosales MD,PROD_cd80d75a,Corrbell 5' X 7' Area Rug, $208.27 ,1,6/22/2025
INV_321960,CUST_1172,Kylie Morales,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $196.12 ,1,6/22/2025
INV_776364,CUST_1331,Henry Pugh MD,PROD_03310af2,"Dylanton 7'8"" X 10' Area Rug", $472.96 ,1,6/23/2025
INV_451475,CUST_1281,Paul Finley,PROD_94b9189a,Enciso Machine Woven Stain Resistant Indoor/Outdoor Area Rug, $66.73 ,1,6/23/2025
INV_800015,CUST_1060,Richard Lawson,PROD_049d2289,Valis Faux Sheepskin Indoor Rug, $99.48 ,1,6/23/2025
INV_790909,CUST_1113,Shannon Rivera,PROD_03310af2,"Dylanton 7'8"" X 10' Area Rug", $480.67 ,1,6/23/2025
INV_783176,CUST_1228,Amanda Hernandez,PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip, $74.44 ,1,6/23/2025
INV_236078,CUST_1337,Derrick Adams,PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room, $101.27 ,1,6/23/2025
INV_419149,CUST_1059,Stephanie Gilbert,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $115.60 ,1,6/24/2025
INV_158845,CUST_1462,Deanna Bartlett,PROD_ef361fba,"Radiant Oriental Multicolor Hand Knotted Wool Blue, Pink, Navy Traditional Area"," $3,340.28 ",1,6/24/2025
INV_629050,CUST_1306,Michael Morrison,PROD_7781fd4a,Oriental Indoor Rug, $215.76 ,1,6/24/2025
INV_684080,CUST_1174,Sophia Moore,PROD_f6c97a80,Livdon Washable Medium Rug, $162.26 ,1,6/24/2025
INV_451801,CUST_1428,James Barnes,PROD_885c587d,"Paseo Gurseerit All-Weather Flatweave Indoor/Outdoor Area Rug, Brown Black", $92.85 ,1,6/24/2025
INV_838594,CUST_1093,Kara Schmidt,PROD_a6ea231c,Ava-Mary Striped Indoor / Outdoor Rug, $141.82 ,1,6/24/2025
INV_404955,CUST_1085,Matthew Smith,PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room, $96.01 ,1,6/24/2025
INV_616342,CUST_1359,Harold Ellis,PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug, $34.30 ,1,6/24/2025
INV_564620,CUST_1173,Cindy Barnes,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $193.46 ,1,6/24/2025
INV_978146,CUST_1387,Tamara Jensen,PROD_9360ae59,Botanical Modern Machine Washable Floral Indoor Oriental Performance Area Rug, $121.98 ,1,6/24/2025
INV_537020,CUST_1428,James Barnes,PROD_ef361fba,"Radiant Oriental Multicolor Hand Knotted Wool Blue, Pink, Navy Traditional Area"," $3,464.50 ",1,6/25/2025
INV_785315,CUST_1024,Crystal Robinson,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $711.33 ,1,6/25/2025
INV_230809,CUST_1181,Brian Smith,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $51.27 ,1,6/25/2025
INV_157738,CUST_1419,Amanda Huff,PROD_885c587d,"Paseo Gurseerit All-Weather Flatweave Indoor/Outdoor Area Rug, Brown Black", $89.09 ,2,6/26/2025
INV_960607,CUST_1088,Samuel Rivas,PROD_ffc555c6,"Azelhurst 7'8"" X 10' Area Rug", $697.10 ,1,6/26/2025
INV_375311,CUST_1292,Randy Cannon,PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug", $160.76 ,1,6/26/2025
INV_881369,CUST_1442,Patricia Bradley,PROD_0a14d1b3,White Shag Novelty Faux Sheepskin Fur Fluffy Rug, $75.99 ,2,6/26/2025
INV_283188,CUST_1135,Brooke Alexander,PROD_20bbb110,Ainswick Memory Foam Large Rug, $547.18 ,2,6/26/2025
INV_424553,CUST_1091,Jason Peters,PROD_7781fd4a,Oriental Indoor Rug, $225.16 ,1,6/27/2025
INV_778748,CUST_1347,Robin Wheeler,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $720.24 ,1,6/27/2025
INV_328367,CUST_1101,David Grant,PROD_0f472890,Oriental Vintage Machine Washable Non-Slip Dark Green Indoor Area Rug, $134.72 ,1,6/27/2025
INV_518114,CUST_1419,Amanda Huff,PROD_03533587,Hand Hooked Wool Oriental Indoor Rug, $48.33 ,1,6/27/2025
INV_891083,CUST_1305,Tammy Boone,PROD_15009179,Maust Sunshine Rainbow Shag Rug, $106.20 ,1,6/27/2025
INV_729575,CUST_1444,Mrs. Stacey Davis,PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug, $207.26 ,1,6/27/2025
INV_479353,CUST_1236,Stephen Jones,PROD_9360ae59,Botanical Modern Machine Washable Floral Indoor Oriental Performance Area Rug, $113.34 ,1,6/28/2025
INV_950544,CUST_1322,Shannon Malone,PROD_0a14d1b3,White Shag Novelty Faux Sheepskin Fur Fluffy Rug, $70.45 ,2,6/28/2025
INV_157217,CUST_1325,Karen Williams,PROD_d02253d6,Lanett Oriental Blue/Gray Area Rug, $93.97 ,1,6/28/2025
INV_675512,CUST_1409,Dr. Morgan Payne PhD,PROD_db0bc388,Waikiki Blue Indoor/Outdoor Rug, $150.08 ,1,6/28/2025
INV_249149,CUST_1150,Kimberly Matthews,PROD_03310af2,"Dylanton 7'8"" X 10' Area Rug", $478.92 ,5,6/28/2025
INV_892182,CUST_1375,Jason Hayes,PROD_f6c97a80,Livdon Washable Medium Rug, $160.24 ,1,6/28/2025
INV_711922,CUST_1060,Richard Lawson,PROD_cb6ebe0a,Harjot Medium Rug, $165.85 ,1,6/28/2025
INV_548377,CUST_1251,Amber Campbell,PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug, $138.04 ,1,6/28/2025
INV_647098,CUST_1295,Kimberly Patel,PROD_cd80d75a,Corrbell 5' X 7' Area Rug, $212.27 ,1,6/28/2025
INV_543732,CUST_1295,Kimberly Patel,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $110.94 ,2,6/28/2025
INV_304899,CUST_1259,Veronica Silva,PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug, $70.44 ,1,6/28/2025
INV_510954,CUST_1054,Victoria Johnson,PROD_94b9189a,Enciso Machine Woven Stain Resistant Indoor/Outdoor Area Rug, $62.30 ,1,6/28/2025
INV_622332,CUST_1050,Sharon Cochran,PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug", $165.27 ,1,6/28/2025
INV_844056,CUST_1385,Edwin Reyes,PROD_3a8f5324,"Lisgrove 7'8"" X 10' Area Rug", $683.08 ,1,6/28/2025
INV_596894,CUST_1347,Robin Wheeler,PROD_ba5eef5e,Gauna Power Loomed Geometric Indoor and Outdoor Rug, $83.48 ,1,6/29/2025
INV_694423,CUST_1261,Patricia James,PROD_0f472890,Oriental Vintage Machine Washable Non-Slip Dark Green Indoor Area Rug, $129.98 ,1,6/29/2025
INV_618721,CUST_1080,Cynthia Wells,PROD_7cb7c01e,Achilles Cream/Gray Rug, $118.69 ,1,6/29/2025
INV_807424,CUST_1317,Mark Peck,PROD_61bd4c69,Area Rug Machine Washable Rugs with Rubber Backing for Living Room, $20.02 ,5,6/29/2025
INV_413884,CUST_1211,Riley Bryant,PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug", $165.35 ,1,6/29/2025
INV_330069,CUST_1417,Christopher Owens,PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug", $164.21 ,5,6/29/2025
INV_329437,CUST_1019,Linda Burns,PROD_15009179,Maust Sunshine Rainbow Shag Rug, $107.05 ,1,6/29/2025
INV_594596,CUST_1398,Mary Thompson,PROD_68bfe17c,Adrihana Machine Woven Abstract Area Rug, $232.97 ,1,6/30/2025
INV_536740,CUST_1412,Valerie Thomas,PROD_20bbb110,Ainswick Memory Foam Large Rug, $573.55 ,1,6/30/2025
INV_805448,CUST_1233,Victoria Contreras,PROD_db0bc388,Waikiki Blue Indoor/Outdoor Rug, $145.84 ,1,6/30/2025
INV_583439,CUST_1083,Michael Burton,PROD_3a8f5324,"Lisgrove 7'8"" X 10' Area Rug", $636.64 ,1,6/30/2025
INV_184002,CUST_1271,David Garcia,PROD_ba5eef5e,Gauna Power Loomed Geometric Indoor and Outdoor Rug, $91.00 ,1,6/30/2025
